title,image,rating,reviews_count,price
"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",https://m.media-amazon.com/images/I/51fYXSnSu9L._AC_UY218_.jpg,4.1 out of 5 stars,"32,298",
"Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)",https://m.media-amazon.com/images/I/61WUSYIQdKL._AC_UY218_.jpg,4.1 out of 5 stars,"6,252",
Speaker Port Cleaning kit fit for iPhone Phone,https://m.media-amazon.com/images/I/61HiLnGzHyL._AC_UY218_.jpg,,,$9.99
"Apple iPhone 15 Pro Max, 256GB, Natural Titanium - Unlocked (Renewed)",https://m.media-amazon.com/images/I/616mZZm8-7L._AC_UY218_.jpg,3.9 out of 5 stars,"1,783",
"Apple iPhone 15, 128GB, Black - Unlocked (Renewed)",https://m.media-amazon.com/images/I/51PtFHUPjBL._AC_UY218_.jpg,4.2 out of 5 stars,"2,069",
"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)",https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY218_.jpg,4.0 out of 5 stars,"18,962",
"Apple iPhone 15 Pro Max, 256GB, Natural Titanium - Unlocked (Renewed Premium)",https://m.media-amazon.com/images/I/61SN++CL07L._AC_UY218_.jpg,4.1 out of 5 stars,952,
"Apple iPhone 16e, 128GB, eSIM, Black - Unlocked (Renewed)",https://m.media-amazon.com/images/I/51H8+zCj2cL._AC_UY218_.jpg,4.5 out of 5 stars,83,
"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://m.media-amazon.com/images/I/51z1UO6N6LL._AC_UY218_.jpg,4.4 out of 5 stars,"66,780",
"Apple iPhone 16 Pro, US Version, 128GB, Natural Titanium - Unlocked (Renewed)",https://m.media-amazon.com/images/I/51xIsifdT0L._AC_UY218_.jpg,4.4 out of 5 stars,503,
"Apple iPhone 11, 64GB, (PRODUCT)RED - Fully Unlocked (Renewed)",https://m.media-amazon.com/images/I/514k7uOBMwL._AC_UY218_.jpg,4.2 out of 5 stars,"57,045",$161.76
"Apple iPhone 14 Plus, 128GB, Starlight - Unlocked (Renewed)",https://m.media-amazon.com/images/I/51UE4EzWMDL._AC_UY218_.jpg,4.1 out of 5 stars,"4,197",$380.00
