,title,price,link
0,"Wireless Earbuds, Sports Bluetooth Headphones, 80Hrs Playtime Ear Buds with LED Power Display, Noise Canceling Headset, IPX7 Waterproof Earphones for Workout/Running Rose Gold",22.,https://www.amazon.com/HAOYUYAN-Bluetooth-Headphones-Canceling-Waterproof/dp/B0FHK281GL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.lQpZ5eHFR83qmzxntfufPUQMoJ-Zl9N3rk941KTdx5WogzDqnq1fw87GoHPoilZM9e88LXkNX-vLmqcRriAJ3K4vwMk_0klwf3YTqHeeNuRQI_erdANY56uDd_vXEO_SygBcN4hlulzmx4flVqrewp19WT4pB6FonByMw4GUQ40fc2FoRY-dTf3emUuH1T8i087T8AH0T2tok5nZbsEJxuqc9j43M9AYgcIG5sGgWL4.s4Jmaeb91VF7UEHOwnIjWR50Wh69dsz5kJK17H3yu7Y&dib_tag=se&keywords=headphones&qid=1756589131&sprefix=headpho%2Caps%2C448&sr=8-1
1,"Wireless Earbuds, ENC Noise Cancelling Sport Ear Buds with Multifunctional Touch Screen, Bluetooth 5.4 Headphones, Bass Stereo Sound, 5 EQ Over The Ear Earbuds for Sports/Workout/Gym-Black",25.,https://www.amazon.com/jaddsa-Cancelling-Multifunctional-Bluetooth-Headphones/dp/B0F9Y3NGZK/ref=sr_1_2?dib=eyJ2IjoiMSJ9.lQpZ5eHFR83qmzxntfufPUQMoJ-Zl9N3rk941KTdx5WogzDqnq1fw87GoHPoilZM9e88LXkNX-vLmqcRriAJ3K4vwMk_0klwf3YTqHeeNuRQI_erdANY56uDd_vXEO_SygBcN4hlulzmx4flVqrewp19WT4pB6FonByMw4GUQ40fc2FoRY-dTf3emUuH1T8i087T8AH0T2tok5nZbsEJxuqc9j43M9AYgcIG5sGgWL4.s4Jmaeb91VF7UEHOwnIjWR50Wh69dsz5kJK17H3yu7Y&dib_tag=se&keywords=headphones&qid=1756589131&sprefix=headpho%2Caps%2C448&sr=8-2
2,"ZIUTY Wireless Earbuds Bluetooth Headphones, 50H Playtime Ear Buds with Mic, LED Digital Display Charging Case, IPX7 Waterproof, Deep Bass Stereo, in-Ear Earphone for iPhone Andriod Phone",16.,https://www.amazon.com/ZIUTY-Wireless-Bluetooth-Headphones-Waterproof/dp/B0F8BLGGD5/ref=sr_1_11?dib=eyJ2IjoiMSJ9.lQpZ5eHFR83qmzxntfufPUQMoJ-Zl9N3rk941KTdx5WogzDqnq1fw87GoHPoilZM9e88LXkNX-vLmqcRriAJ3K4vwMk_0klwf3YTqHeeNuRQI_erdANY56uDd_vXEO_SygBcN4hlulzmx4flVqrewp19WT4pB6FonByMw4GUQ40fc2FoRY-dTf3emUuH1T8i087T8AH0T2tok5nZbsEJxuqc9j43M9AYgcIG5sGgWL4.s4Jmaeb91VF7UEHOwnIjWR50Wh69dsz5kJK17H3yu7Y&dib_tag=se&keywords=headphones&qid=1756589131&sprefix=headpho%2Caps%2C448&sr=8-11
3,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black",N/A,https://www.amazon.com/Sony-WH-CH520-Headphones-Bluetooth-Microphone/dp/B0BS1PRC4L/ref=sr_1_5?dib=eyJ2IjoiMSJ9.lQpZ5eHFR83qmzxntfufPUQMoJ-Zl9N3rk941KTdx5WogzDqnq1fw87GoHPoilZM9e88LXkNX-vLmqcRriAJ3K4vwMk_0klwf3YTqHeeNuRQI_erdANY56uDd_vXEO_SygBcN4hlulzmx4flVqrewp19WT4pB6FonByMw4GUQ40fc2FoRY-dTf3emUuH1T8i087T8AH0T2tok5nZbsEJxuqc9j43M9AYgcIG5sGgWL4.s4Jmaeb91VF7UEHOwnIjWR50Wh69dsz5kJK17H3yu7Y&dib_tag=se&keywords=headphones&qid=1756589174&sprefix=headpho%2Caps%2C448&sr=8-5
4,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Foam Ear Cups, Travel, Office, USB-C Charging",N/A,https://www.amazon.com/Soundcore-Cancelling-Headphones-Wireless-Bluetooth/dp/B0DLKB5V35/ref=sr_1_6?dib=eyJ2IjoiMSJ9.lQpZ5eHFR83qmzxntfufPUQMoJ-Zl9N3rk941KTdx5WogzDqnq1fw87GoHPoilZM9e88LXkNX-vLmqcRriAJ3K4vwMk_0klwf3YTqHeeNuRQI_erdANY56uDd_vXEO_SygBcN4hlulzmx4flVqrewp19WT4pB6FonByMw4GUQ40fc2FoRY-dTf3emUuH1T8i087T8AH0T2tok5nZbsEJxuqc9j43M9AYgcIG5sGgWL4.s4Jmaeb91VF7UEHOwnIjWR50Wh69dsz5kJK17H3yu7Y&dib_tag=se&keywords=headphones&qid=1756589174&sprefix=headpho%2Caps%2C448&sr=8-6
5,"Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",N/A,https://www.amazon.com/Sony-WH-CH720N-Canceling-Headphones-Microphone/dp/B0BS1QCFHX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.lQpZ5eHFR83qmzxntfufPUQMoJ-Zl9N3rk941KTdx5WogzDqnq1fw87GoHPoilZM9e88LXkNX-vLmqcRriAJ3K4vwMk_0klwf3YTqHeeNuRQI_erdANY56uDd_vXEO_SygBcN4hlulzmx4flVqrewp19WT4pB6FonByMw4GUQ40fc2FoRY-dTf3emUuH1T8i087T8AH0T2tok5nZbsEJxuqc9j43M9AYgcIG5sGgWL4.s4Jmaeb91VF7UEHOwnIjWR50Wh69dsz5kJK17H3yu7Y&dib_tag=se&keywords=headphones&qid=1756589174&sprefix=headpho%2Caps%2C448&sr=8-7
6,"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",N/A,https://www.amazon.com/Apple-Cancellation-Transparency-Personalized-High-Fidelity/dp/B0D1XD1ZV3/ref=sr_1_8?dib=eyJ2IjoiMSJ9.lQpZ5eHFR83qmzxntfufPUQMoJ-Zl9N3rk941KTdx5WogzDqnq1fw87GoHPoilZM9e88LXkNX-vLmqcRriAJ3K4vwMk_0klwf3YTqHeeNuRQI_erdANY56uDd_vXEO_SygBcN4hlulzmx4flVqrewp19WT4pB6FonByMw4GUQ40fc2FoRY-dTf3emUuH1T8i087T8AH0T2tok5nZbsEJxuqc9j43M9AYgcIG5sGgWL4.s4Jmaeb91VF7UEHOwnIjWR50Wh69dsz5kJK17H3yu7Y&dib_tag=se&keywords=headphones&qid=1756589174&sprefix=headpho%2Caps%2C448&sr=8-8
7,"NDO Wireless Earbuds Bluetooth 5.3 Headphones Sport,IPX7 Waterproof Sports Earphones with Earhooks,48H Playtime,Lightweight 7.8g,Fast Charging Case,Noise Cancelling Mic for Running Gym Workout-Black",22.,https://www.amazon.com/NDO-Headphones-Waterproof-Lightweight-Workout-Black/dp/B0F6BFFXN8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.lQpZ5eHFR83qmzxntfufPUQMoJ-Zl9N3rk941KTdx5WogzDqnq1fw87GoHPoilZM9e88LXkNX-vLmqcRriAJ3K4vwMk_0klwf3YTqHeeNuRQI_erdANY56uDd_vXEO_SygBcN4hlulzmx4flVqrewp19WT4pB6FonByMw4GUQ40fc2FoRY-dTf3emUuH1T8i087T8AH0T2tok5nZbsEJxuqc9j43M9AYgcIG5sGgWL4.s4Jmaeb91VF7UEHOwnIjWR50Wh69dsz5kJK17H3yu7Y&dib_tag=se&keywords=headphones&qid=1756589174&sprefix=headpho%2Caps%2C448&sr=8-9
8,"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Silver WH1000XM4",198.,https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-phone-call/dp/B0863FR3S9/ref=sr_1_10?dib=eyJ2IjoiMSJ9.lQpZ5eHFR83qmzxntfufPUQMoJ-Zl9N3rk941KTdx5WogzDqnq1fw87GoHPoilZM9e88LXkNX-vLmqcRriAJ3K4vwMk_0klwf3YTqHeeNuRQI_erdANY56uDd_vXEO_SygBcN4hlulzmx4flVqrewp19WT4pB6FonByMw4GUQ40fc2FoRY-dTf3emUuH1T8i087T8AH0T2tok5nZbsEJxuqc9j43M9AYgcIG5sGgWL4.s4Jmaeb91VF7UEHOwnIjWR50Wh69dsz5kJK17H3yu7Y&dib_tag=se&keywords=headphones&qid=1756589174&sprefix=headpho%2Caps%2C448&sr=8-10
9,"ZIUTY Wireless Earbuds Bluetooth Headphones, 50H Playtime Ear Buds with Mic, LED Digital Display Charging Case, IPX7 Waterproof, Deep Bass Stereo, in-Ear Earphone for iPhone Andriod Phone",16.,https://www.amazon.com/ZIUTY-Wireless-Bluetooth-Headphones-Waterproof/dp/B0F8BLGGD5/ref=sr_1_11?dib=eyJ2IjoiMSJ9.lQpZ5eHFR83qmzxntfufPUQMoJ-Zl9N3rk941KTdx5WogzDqnq1fw87GoHPoilZM9e88LXkNX-vLmqcRriAJ3K4vwMk_0klwf3YTqHeeNuRQI_erdANY56uDd_vXEO_SygBcN4hlulzmx4flVqrewp19WT4pB6FonByMw4GUQ40fc2FoRY-dTf3emUuH1T8i087T8AH0T2tok5nZbsEJxuqc9j43M9AYgcIG5sGgWL4.s4Jmaeb91VF7UEHOwnIjWR50Wh69dsz5kJK17H3yu7Y&dib_tag=se&keywords=headphones&qid=1756589174&sprefix=headpho%2Caps%2C448&sr=8-11
